Bachelor of (Arts|Laws|Science|Engineering|Divinity)	DEGREE
embellish	TOEFL
embezzle	TOEFL
emote	TOEFL
empirical	TOEFL
encapsulate	TOEFL
encomium	TOEFL
encumbrance	TOEFL
endearing	TOEFL
endemic	TOEFL
endorse	TOEFL
enduring	TOEFL
enervate	TOEFL
engender	TOEFL
engrave	TOEFL
engrossing	TOEFL
engulf	TOEFL
enigma	TOEFL
enmity	TOEFL
ensign	TOEFL
entangle	TOEFL
enthral	TOEFL
entice	TOEFL
entreat	TOEFL
enunciate	TOEFL
enzyme	TOEFL
epicurean	TOEFL
epistle	TOEFL
epithet	TOEFL
epitome	TOEFL
equable	TOEFL
equanimity	TOEFL
equilibrium	TOEFL
equipoise	TOEFL
equivocal	TOEFL
equivocate	TOEFL
eradicate	TOEFL
erratic	TOEFL
erudite	TOEFL
eschew	TOEFL
esoteric	TOEFL
espouse	TOEFL
eulogy	TOEFL
euphoria	TOEFL
euthanasia	TOEFL
evasive	TOEFL
evince	TOEFL
evoke	TOEFL
excoriation	TOEFL
exculpate	TOEFL
exhaustive	TOEFL
exigency	TOEFL
exoneration	TOEFL
exorbitant	TOEFL
expatiate	TOEFL
expedient	TOEFL
expiation	TOEFL
exploit	TOEFL
expostulate	TOEFL
expurgate	TOEFL
exscind	TOEFL
extant	TOEFL
extempore	TOEFL
extenuate	TOEFL
extinct	TOEFL
extinguish	TOEFL
extirpate	TOEFL
extol	TOEFL
extort	TOEFL
extralegal	TOEFL
extricable	TOEFL
extrovert	TOEFL
exuberance	TOEFL
facetious	TOEFL
facile	TOEFL
fallacious	TOEFL
falter	TOEFL
fatuous	TOEFL
fawn	TOEFL
feckless	TOEFL
fecund	TOEFL
feint	TOEFL
felicitous	TOEFL
felon	TOEFL
ferment	TOEFL
ferocity	TOEFL
ferret	TOEFL
fervid	TOEFL
fervor	TOEFL
fetid	TOEFL
fetter	TOEFL
feud	TOEFL
fidelity	TOEFL
fidget	TOEFL
figurehead	TOEFL
finesse	TOEFL
finical	TOEFL
finicky	TOEFL
fission	TOEFL
fixate	TOEFL
flak	TOEFL
flamboyant	TOEFL
flaunting	TOEFL
flax	TOEFL
fledged	TOEFL
fleet	TOEFL
flinch	TOEFL
flop	TOEFL
florid	TOEFL
flout	TOEFL
fluke	TOEFL
fluster	TOEFL
foible	TOEFL
foil	TOEFL
foment	TOEFL
foolproof	TOEFL
foppish	TOEFL
forage	TOEFL
forbear	TOEFL
forbearance	TOEFL
ford	TOEFL
forestall	TOEFL
forfeit	TOEFL
forge	TOEFL
forgery	TOEFL
forswear	TOEFL
foster	TOEFL
fracas	TOEFL
fragile	TOEFL
fragrant	TOEFL
frantic	TOEFL
frenetic	TOEFL
fret	TOEFL
fringe	TOEFL
froward	TOEFL
frugal	TOEFL
fulmination	TOEFL
fulsome	TOEFL
gainsay	TOEFL
garble	TOEFL
garment	TOEFL
garner	TOEFL
garrulity	TOEFL
garrulous	TOEFL
gaucherie	TOEFL
germane	TOEFL
gist	TOEFL
glean	TOEFL
glib	TOEFL
glimmer	TOEFL
gloat	TOEFL
glut	TOEFL
gnaw	TOEFL
goad	TOEFL
gorge	TOEFL
gossamer	TOEFL
gouge	TOEFL
grandiloquent	TOEFL
grave	TOEFL
graze	TOEFL
gregarious	TOEFL
grievous	TOEFL
grovel	TOEFL
guile	TOEFL
gullible	TOEFL
gush	TOEFL
gust	TOEFL
hack	TOEFL
halcyon	TOEFL
hallow	TOEFL
harangue	TOEFL
harbinger	TOEFL
harrow	TOEFL
haughty	TOEFL
heed	TOEFL
heinous	TOEFL
heresy	TOEFL
hermetic	TOEFL
heterogeneous	TOEFL
hew	TOEFL
highbrow	TOEFL
hirsute	TOEFL
hoax	TOEFL
hoi	TOEFL
hollow	TOEFL
holster	TOEFL
homiletics	TOEFL
hone	TOEFL
hoodwink	TOEFL
hospitable	TOEFL
hubris	TOEFL
hush	TOEFL
husk	TOEFL
hypocrisy	TOEFL
iconoclast	TOEFL
idiosyncrasy	TOEFL
idolatry	TOEFL
idyll	TOEFL
ignoble	TOEFL
ignominious	TOEFL
illicit	TOEFL
imbroglio	TOEFL
immaculate	TOEFL
imminent	TOEFL
immutable	TOEFL
impair	TOEFL
impassive	TOEFL
impecunious	TOEFL
impede	TOEFL
impediment	TOEFL
impending	TOEFL
imperative	TOEFL
imperious	TOEFL
impermeable	TOEFL
imperturbable	TOEFL
impervious	TOEFL
imperviousness	TOEFL
impetuous	TOEFL
impiety	TOEFL
implacable	TOEFL
implicate	TOEFL
implicit	TOEFL
implosion	TOEFL
importune	TOEFL
imprecation	TOEFL
impromptu	TOEFL
impudent	TOEFL
impugned	TOEFL
impute	TOEFL
inadvertent	TOEFL
inane	TOEFL
inasmuch	TOEFL
incense	TOEFL
incessant	TOEFL
inchoate	TOEFL
incipient	TOEFL
incise	TOEFL
incite	TOEFL
inclined	TOEFL
incongruous	TOEFL
incorrigibility	TOEFL
incredulous	TOEFL
inculcate	TOEFL
incumbents	TOEFL
incursion	TOEFL
indefatigability	TOEFL
indelible	TOEFL
indigence	TOEFL
indigenous	TOEFL
indistinct	TOEFL
indolence	TOEFL
indomitable	TOEFL
indulge	TOEFL
indulgent	TOEFL
ineffable	TOEFL
ineluctable	TOEFL
inept	TOEFL
ineptitude	TOEFL
inferno	TOEFL
infuriate	TOEFL
infuse	TOEFL
ingenuous	TOEFL
ingest	TOEFL
inimical	TOEFL
inimitable	TOEFL
innocuous	TOEFL
inscrutable	TOEFL
insensible	TOEFL
insinuate	TOEFL
insipid	TOEFL
insouciant	TOEFL
insularity	TOEFL
insurrection	TOEFL
interdict	TOEFL
interim	TOEFL
intersperse	TOEFL
intransigence	TOEFL
intransigent	TOEFL
intrepid	TOEFL
introspection	TOEFL
inundate	TOEFL
inured	TOEFL
invective	TOEFL
inveigh	TOEFL
inveterate	TOEFL
invincible	TOEFL
involute	TOEFL
irascible	TOEFL
irate	TOEFL
ire	TOEFL
irksome	TOEFL
irresolute	TOEFL
irrevocable	TOEFL
itinerate	TOEFL
jabber	TOEFL
jibe	TOEFL
jocular	TOEFL
judicious	TOEFL
knit	TOEFL
labyrinthine	TOEFL
lachrymose	TOEFL
lackluster	TOEFL
lament	TOEFL
lassitude	TOEFL
latent	TOEFL
laudatory	TOEFL
lavish	TOEFL
legacy	TOEFL
levee	TOEFL
levity	TOEFL
libel	TOEFL
liberality	TOEFL
libertine	TOEFL
lien	TOEFL
limn	TOEFL
limp	TOEFL
lionize	TOEFL
lithe	TOEFL
loll	TOEFL
lope	TOEFL
loquacious	TOEFL
lucubrate	TOEFL
luculent	TOEFL
lugubrious	TOEFL
lull	TOEFL
lumber	TOEFL
luminary	TOEFL
lurk	TOEFL
lustrous	TOEFL
macabre	TOEFL
macerate	TOEFL
machination	TOEFL
maladroit	TOEFL
malapropism	TOEFL
malevolence	TOEFL
malign	TOEFL
malinger	TOEFL
malleable	TOEFL
manacle	TOEFL
massacre	TOEFL
matriculation	TOEFL
maudlin	TOEFL
maul	TOEFL
maverick	TOEFL
mellifluous	TOEFL
mendacity	TOEFL
mendicant	TOEFL
mercurial	TOEFL
meretricious	TOEFL
mesmerize	TOEFL
meticulous	TOEFL
mettle	TOEFL
mettlesome	TOEFL
middling	TOEFL
minatory	TOEFL
mince	TOEFL
misanthrope	TOEFL
mischievous	TOEFL
miser	TOEFL
misogynist	TOEFL
moderation	TOEFL
mollify	TOEFL
molt	TOEFL
morbid	TOEFL
morose	TOEFL
muffler	TOEFL
multifarious	TOEFL
mundane	TOEFL
myriad	TOEFL
nadir	TOEFL
nascent	TOEFL
nebulous	TOEFL
negligent	TOEFL
neophyte	TOEFL
nexus	TOEFL
nibble	TOEFL
noisome	TOEFL
nonchalant	TOEFL
nonplused	TOEFL
nostrum	TOEFL
noxious	TOEFL
nugatory	TOEFL
obdurate	TOEFL
obfuscate	TOEFL
oblivious	TOEFL
obloquy	TOEFL
obsequious	TOEFL
obstreperous	TOEFL
obtain	TOEFL
obtrusive	TOEFL
obtuse	TOEFL
obviate	TOEFL
occluded	TOEFL
odious	TOEFL
odium	TOEFL
odor	TOEFL
officious	TOEFL
ominous	TOEFL
onerous	TOEFL
opaqueness	TOEFL
opprobrious	TOEFL
ossify	TOEFL
ostensible	TOEFL
ostentation	TOEFL
ostracism	TOEFL
overhaul	TOEFL
overweening	TOEFL
paean	TOEFL
palate	TOEFL
palatial	TOEFL
palliate	TOEFL
palpability	TOEFL
palpitate	TOEFL
panegyric	TOEFL
paradigm	TOEFL
parenthesis	TOEFL
pariah	TOEFL
parsimonious	TOEFL
partisan	TOEFL
patron	TOEFL
paucity	TOEFL
peccadillo	TOEFL
pedantic	TOEFL
pedestrian	TOEFL
pellucid	TOEFL
penchant	TOEFL
penitent	TOEFL
penurious	TOEFL
penury	TOEFL
peregrination	TOEFL
peremptory	TOEFL
perfidious	TOEFL
perfidy	TOEFL
perfunctory	TOEFL
perilous	TOEFL
peripatetic	TOEFL
perish	TOEFL
perjury	TOEFL
permeate	TOEFL
pernicious	TOEFL
perpetrate	TOEFL
personable	TOEFL
perspicacity	TOEFL
pertain	TOEFL
pest	TOEFL
petrified	TOEFL
petrify	TOEFL
petrous	TOEFL
petulant	TOEFL
philistine	TOEFL
phlegmatic	TOEFL
picaresque	TOEFL
pied	TOEFL
pinch	TOEFL
pine	TOEFL
pious	TOEFL
piquant	TOEFL
pique	TOEFL
pitfall	TOEFL
pith	TOEFL
pivotal	TOEFL
placate	TOEFL
plaintive	TOEFL
plaque	TOEFL
platitude	TOEFL
plea	TOEFL
plead	TOEFL
plethora	TOEFL
pliant	TOEFL
plod	TOEFL
pluck	TOEFL
plumb	TOEFL
plummet	TOEFL
plunge	TOEFL
poignant	TOEFL
poncho	TOEFL
ponderous	TOEFL
portent	TOEFL
precarious	TOEFL
precepts	TOEFL
preclude	TOEFL
precursory	TOEFL
predilection	TOEFL
predominate	TOEFL
preen	TOEFL
premature	TOEFL
preponderance	TOEFL
presage	TOEFL
presumption	TOEFL
preternatural	TOEFL
prevalent	TOEFL
prevaricate	TOEFL
prim	TOEFL
pristine	TOEFL
probity	TOEFL
proclivity	TOEFL
procrastination	TOEFL
prodigal	TOEFL
prodigious	TOEFL
profane	TOEFL
profligacy	TOEFL
profligate	TOEFL
profundity	TOEFL
profuse	TOEFL
proliferate	TOEFL
prolix	TOEFL
prone	TOEFL
propagation	TOEFL
propinquity	TOEFL
propitiatory	TOEFL
propitious	TOEFL
prosaic	TOEFL
proscribe	TOEFL
protracted	TOEFL
provident	TOEFL
provisional	TOEFL
provoke	TOEFL
prudence	TOEFL
prudish	TOEFL
prune	TOEFL
pry	TOEFL
pucker	TOEFL
pugnacious	TOEFL
puissance	TOEFL
punctilious	TOEFL
pundit	TOEFL
pungency	TOEFL
purvey	TOEFL
pusillanimous	TOEFL
putrefaction	TOEFL
pyre	TOEFL
quack	TOEFL
quaff	TOEFL
quail	TOEFL
qualm	TOEFL
quandary	TOEFL
quell	TOEFL
quibble	TOEFL
quiescence	TOEFL
quiescent	TOEFL
quirk	TOEFL
quixotic	TOEFL
quotidian	TOEFL
rabble	TOEFL
raconteur	TOEFL
raffish	TOEFL
ramify	TOEFL
rancorous	TOEFL
rant	TOEFL
rapacious	TOEFL
rarefy	TOEFL
rave	TOEFL
reactionary	TOEFL
rebuff	TOEFL
recalcitrant	TOEFL
recant	TOEFL
recast	TOEFL
recidivism	TOEFL
reciprocity	TOEFL
recitals	TOEFL
recluse	TOEFL
recompense	TOEFL
reconcile	TOEFL
recondite	TOEFL
recreancy	TOEFL
recuperate	TOEFL
redeem	TOEFL
redoubtable	TOEFL
refine	TOEFL
refractory	TOEFL
refulgent	TOEFL
regale	TOEFL
regicide	TOEFL
reiterate	TOEFL
rejuvenation	TOEFL
relapse	TOEFL
remonstrate	TOEFL
render	TOEFL
renovate	TOEFL
renowned	TOEFL
repast	TOEFL
repel	TOEFL
repine	TOEFL
reproach	TOEFL
reprobate	TOEFL
repudiate	TOEFL
repulsive	TOEFL
requite	TOEFL
rescind	TOEFL
resigned	TOEFL
resilience	TOEFL
resort	TOEFL
restive	TOEFL
resuscitation	TOEFL
retard	TOEFL
reticent	TOEFL
revere	TOEFL
reverent	TOEFL
riddle	TOEFL
rift	TOEFL
rivet	TOEFL
roll	TOEFL
rotund	TOEFL
ruffian	TOEFL
rumple	TOEFL
sagacious	TOEFL
salacious	TOEFL
salubrious	TOEFL
salutary	TOEFL
sanctimony	TOEFL
sanction	TOEFL
sanguine	TOEFL
sanity	TOEFL
sash	TOEFL
satiate	TOEFL
saturnine	TOEFL
savant	TOEFL
savor	TOEFL
sawdust	TOEFL
scabbard	TOEFL
scent	TOEFL
scorch	TOEFL
scribble	TOEFL
scurvy	TOEFL
secular	TOEFL
sedulous	TOEFL
seminal	TOEFL
sententious	TOEFL
sequence	TOEFL
sere	TOEFL
sermon	TOEFL
serrated	TOEFL
serration	TOEFL
servile	TOEFL
sever	TOEFL
severance	TOEFL
shallow	TOEFL
shard	TOEFL
sheath	TOEFL
shrewd	TOEFL
shrill	TOEFL
shun	TOEFL
shunt	TOEFL
sidestep	TOEFL
simper	TOEFL
sinuous	TOEFL
skiff	TOEFL
skit	TOEFL
slack	TOEFL
slake	TOEFL
slate	TOEFL
sluggard	TOEFL
slur	TOEFL
smolder	TOEFL
snare	TOEFL
snub	TOEFL
soar	TOEFL
sober	TOEFL
sobriety	TOEFL
sodden	TOEFL
soggy	TOEFL
solvent	TOEFL
somatic	TOEFL
soot	TOEFL
sophisticated	TOEFL
sophistry	TOEFL
sophomoric	TOEFL
soporific	TOEFL
sordid	TOEFL
spear	TOEFL
specious	TOEFL
splenetic	TOEFL
splice	TOEFL
sponge	TOEFL
spurious	TOEFL
spurn	TOEFL
squalid	TOEFL
squander	TOEFL
squat	TOEFL
stanch	TOEFL
steeply	TOEFL
stentorian	TOEFL
stickler	TOEFL
stigma	TOEFL
stigmatize	TOEFL
sting	TOEFL
stingy	TOEFL
stint	TOEFL
stipple	TOEFL
stipulate	TOEFL
stolid	TOEFL
stray	TOEFL
streak	TOEFL
striated	TOEFL
stride	TOEFL
strut	TOEFL
stygian	TOEFL
stymie	TOEFL
subdue	TOEFL
sublime	TOEFL
submerge	TOEFL
suborn	TOEFL
subpoena	TOEFL
substantiation	TOEFL
subsume	TOEFL
succor	TOEFL
suffice	TOEFL
suffocate	TOEFL
sullied	TOEFL
summarily	TOEFL
sumptuous	TOEFL
sundry	TOEFL
supercilious	TOEFL
superfluous	TOEFL
superimpose	TOEFL
supersede	TOEFL
supine	TOEFL
suppliant	TOEFL
supplicate	TOEFL
suppress	TOEFL
surcharge	TOEFL
surfeit	TOEFL
susceptibility	TOEFL
swerve	TOEFL
sycophant	TOEFL
synopsis	TOEFL
taciturn	TOEFL
tadpole	TOEFL
talon	TOEFL
tamp	TOEFL
tamper	TOEFL
tangential	TOEFL
tarnished	TOEFL
tassel	TOEFL
taunt	TOEFL
taut	TOEFL
tautology	TOEFL
tawdry	TOEFL
teetotal	TOEFL
temerity	TOEFL
temperance	TOEFL
temperate	TOEFL
tenacity	TOEFL
tenuous	TOEFL
tepid	TOEFL
terse	TOEFL
testiness	TOEFL
thrift	TOEFL
thwart	TOEFL
timid	TOEFL
timorous	TOEFL
toady	TOEFL
tonic	TOEFL
topple	TOEFL
torment	TOEFL
torpid	TOEFL
torque	TOEFL
tortuous	TOEFL
tout	TOEFL
tractable	TOEFL
transgress	TOEFL
transient	TOEFL
transitory	TOEFL
travesty	TOEFL
trenchant	TOEFL
trepidation	TOEFL
trickle	TOEFL
trifling	TOEFL
trite	TOEFL
truce	TOEFL
truculence	TOEFL
trudge	TOEFL
turbid	TOEFL
turbulence	TOEFL
turgid	TOEFL
turmoil	TOEFL
turpitude	TOEFL
turquoise	TOEFL
tyro	TOEFL
ubiquitous	TOEFL
ulterior	TOEFL
umbrage	TOEFL
uncouth	TOEFL
underbid	TOEFL
undermine	TOEFL
undulate	TOEFL
unearth	TOEFL
unencumbered	TOEFL
unfeigned	TOEFL
unscathed	TOEFL
untoward	TOEFL
upbraid	TOEFL
urbane	TOEFL
vacillation	TOEFL
vagary	TOEFL
vain	TOEFL
valiant	TOEFL
valorous	TOEFL
vanquish	TOEFL
veer	TOEFL
venal	TOEFL
veneer	TOEFL
veneration	TOEFL
veracity	TOEFL
verdant	TOEFL
verisimilitude	TOEFL
veritable	TOEFL
verve	TOEFL
vestige	TOEFL
vex	TOEFL
vigilance	TOEFL
vigilant	TOEFL
vigorous	TOEFL
vilify	TOEFL
vindictive	TOEFL
virago	TOEFL
visceral	TOEFL
viscous	TOEFL
vitiate	TOEFL
vituperate	TOEFL
vivacious	TOEFL
volatile	TOEFL
volubility	TOEFL
voluble	TOEFL
waffle	TOEFL
waft	TOEFL
wag	TOEFL
warmonger	TOEFL
warrant	TOEFL
wean	TOEFL
weigh	TOEFL
welter	TOEFL
wend	TOEFL
whimsical	TOEFL
wince	TOEFL
woo	TOEFL
writ	TOEFL
yarn	TOEFL
take	TOEFL
play	TOEFL
takes	TOEFL
